comment_nums,content,create_date,fav_nums,front_image_path,front_image_url,praise_nums,tags,title,url,url_object_id
0,,2018-12-21,0,,http://jbcdn2.b0.upaiyun.com/2018/12/6d2225e2460121a0b2f5343e5b212231.jpg,1,"IT技术,Linux",Linux 搜索文件和文件夹的 4 种简单方法,http://blog.jobbole.com/114561/,1a059c47645008a226fefc149127b7d0
0,,2018-12-21,2,,http://jbcdn2.b0.upaiyun.com/2018/11/89f21f4108d88a3eabb105a24c0f4fad.jpeg,2,"职场,硅谷,薪酬",反对薪酬保密，一程序员公开了硅谷秘密,http://blog.jobbole.com/114488/,b8895923b325bd572e1e15a4aae6a066
0,,2018-12-21,5,,http://jbcdn2.b0.upaiyun.com/2012/04/vim-logo.png,2,"IT技术,Vim",一文带你了解 Vim 的起源,http://blog.jobbole.com/114461/,503ae7fbe22cb704c56f29af0f417fa6
2,,2018-12-21,13,,http://wx1.sinaimg.cn/mw690/7cc829d3ly1fwjgiwii9lj20qn0gqdgl.jpg,4,"IT技术,编译器",人人都能读懂的编译器原理,http://blog.jobbole.com/114466/,66d853efc56bcb1bdc594f4a6e4f1542
1,,2018-12-21,0,,http://jbcdn2.b0.upaiyun.com/2014/07/6da94dec8f6f96417f14c8291e634580.png,1,"Python,数据科学",Python 数据科学入门,http://blog.jobbole.com/114493/,ead0ffea91eda8270471bda2c435344a
0,,2018-12-21,1,,http://jbcdn2.b0.upaiyun.com/2018/11/23a2beb8acbfad03600ee14aa07ce9ce.png,1,"IT技术,Linux",5 个适合系统管理员使用的告警可视化工具,http://blog.jobbole.com/114503/,e99433ceedf57d06ee6762ea2097e38e
1,,2018-12-21,4,,http://jbcdn2.b0.upaiyun.com/2017/11/90129c6662feee86738bd3663ce83108.png,1,"职场,开发,面试",软件工程师生存指南：面试准备、工作经验和实用工具,http://blog.jobbole.com/114496/,6fbd4af91eb7fe092be2ce62b423bea1
1,,2018-12-21,1,,http://jbcdn2.b0.upaiyun.com/2016/03/6dd085bf97f82f786b71b4fbcdb37e88.jpg,4,"IT技术,StackOverflow",程序员神器 StackOverflow 10 岁了，它长大后想成为什么？,http://blog.jobbole.com/114499/,c6b94d24afe2779abf58694dfb05b794
1,,2018-12-21,2,,http://jbcdn2.b0.upaiyun.com/2016/04/149000d5c8b1bb08b8de6914ed749f28.gif,1,"IT技术,带宽,时延",网络应用优化——时延与带宽,http://blog.jobbole.com/114523/,45af5cf8efb28987fbf48ee838c1d6f8
0,,2018-12-21,4,,http://jbcdn2.b0.upaiyun.com/2015/02/58e81f3ff36189eef0d754b03017307d.png,2,"IT技术,awk,Linux",awk 入门教程,http://blog.jobbole.com/114490/,02ee80b49bc0077872a5c8909cf91ee3
0,,2018-12-21,2,,http://jbcdn2.b0.upaiyun.com/2015/11/e78e36715813f49e9e62fe0c6050075c.png,1,"IT技术,MySQL,数据库",MySQL 更改数据库数据存储目录,http://blog.jobbole.com/114479/,b01599f760a20847250346416be84645
1,,2018-12-21,4,,http://jbcdn2.b0.upaiyun.com/2018/10/22b50c4f6378466a0259ad8ceeedd1ed.jpg,3,"IT技术,Linux",2018 年最好的 Linux 发行版,http://blog.jobbole.com/114473/,d19d16854cc8aac90eb50785ce0e89f5
0,,2018-12-21,1,,http://jbcdn2.b0.upaiyun.com/2018/12/93677bc0c5d849ca25cf8f39eeca8085.png,1,"IT技术,Linux",神奇的 Linux 命令行字符形状工具 boxes,http://blog.jobbole.com/114549/,4edaa33145055660d92937ded2e5009d
0,,2018-12-21,0,,http://jbcdn2.b0.upaiyun.com/2018/11/c7935165018518bb315e8a1b4635c92c.jpg,2,"IT技术,Linux",在 Linux 上自定义 bash 命令提示符,http://blog.jobbole.com/114528/,f99a5ed0a8bfeccf6fb44e18b5ae0347
3,,2018-12-21,0,,https://www.tutorialdocs.com/upload/2018/08/regex-trap-01.png,2,IT技术,正则表达式的隐藏陷阱，你都了解么？,http://blog.jobbole.com/114536/,a8609d3a5eb03b2ce0b00509391679a5
0,,2018-12-21,1,,http://jbcdn2.b0.upaiyun.com/2017/05/77d80105fd15f2465894827e23cc4842.jpeg,1,"IT技术,Linux",关于 top 工具的 6 个替代方案,http://blog.jobbole.com/114546/,9ffab4bea30398259937fff850d7b2de
2,,2018-12-21,0,,https://camo.githubusercontent.com/d98880e58e8bbcbe39d18692601bdd78ad51057c/68747470733a2f2f63646e2d696d616765732d312e6d656469756d2e636f6d2f6d61782f323030302f302a744a713852535f557633523973353645,1,"IT技术,Git",学会这两件事，让你成为 Git 老司机,http://blog.jobbole.com/114551/,e80e89e56ef1f9158d98ef782dea1a19
0,,2018-12-21,4,,http://jbcdn2.b0.upaiyun.com/2018/11/b47d2553927cc1dd89135026466da892.png,3,"IT技术,SQL",SQL优化指南,http://blog.jobbole.com/114482/,525873ae47480e5115c1da9dee9c61ac
5,,2018-12-21,5,,http://jbcdn2.b0.upaiyun.com/2015/09/7fcd641cb5f24d14a62f52453c975c3a.jpg,4,"IT技术,Linux",在 Linux 命令行中使用 tcpdump 抓包,http://blog.jobbole.com/114505/,105183b2fd20dec85aab802e7e7a8eaf
0,,2018-12-21,1,,http://jbcdn2.b0.upaiyun.com/2015/11/e78e36715813f49e9e62fe0c6050075c.png,1,"IT技术,MySQL,数据库",Ubuntu 上更改 MySQL 数据库数据存储目录,http://blog.jobbole.com/114485/,c2756a5fefdd2d0ac6c67a7d153278d5
